,site,year,species,nestID,loc_Year_nestID,plot,Nest_location_northing_WGS84_Dec_degree,Nest_location_Easting_WGS84_Dec_degree,Photo_taken,temp_probe,Trapped(y/n),First_Trapping_date,Second_Trapping_date,Third_Trapping_date,Mayfield_start_date (formula),Mayfield_end date (formula),Mayfield_end_date (formula)_source,Mayfield_days (formula),Fate ,fail cause,Completed_Clutch_Size,Observed_Clutch_Completion_date,#_of_Eggs_Hatched,Hatch_Date,Method_Hatch_Date_Determined,Estimated Nest Initiation Date,Estimated_nest_initiation_date_source,Inc_duration_used_for_estimated_nest_initiation_calculation,Clutch_size_when_nest_found,Clutch_status_when_nest_found,Date Found ,Last Active,Last Checked,June 1st,June 2nd,June 3rd,June 4th,June 5th,June 6th,June 7th,June 8th,June 9th,June 10th,June 11th,June 12th,June 13th,June 14th,June 15th,June 16th,June 17th,June 18th,June 19th,June 20th,June 21st,June 22nd,June 23rd,June 24th,June 25th,June 26th,June 27th,June 28th,June 29th,June 30th,July 1st,July 2nd,July 3rd,July 4th,July 5th,July 6th,July 7th,July 8th,July 9th,July 10th,July 11th,July 12th,July 13th,July 14th,July 15th,July 16th,July 17th,July 18th,July 19th,July 20th,July 21st,July 22nd,July 23rd,July 24th,July 25th,July 26th,July 27th,July 28th,July 29th,July 30th,July 31st,August 1st,August 2nd,August 3rd,August 4th,August 5th,Notes_Field,,
,Coats Island,2004,BBPL,BBG04,c2004-BBG04,K,62.91581,-82.48208,,,y,"July 24, 2004",,,22-Jul-2004,24-Jul-2004,hatch date,2,success,na,4,,1-4,24-Jul-2004,chick seen,26-Jun-2004,hatch_date_minus_incubation_duration,25,4,complete,22-Jul-2004,24-Jul-2004,24-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e (heavy staring-1149h),,1c - 0942h,,,,,,,,,,,,,,,
,Coats Island,2004,BBPL,BBJ01,c2004-BBJ01,I,62.90203,-82.47492,,,n,,,,29-Jun-2004,09-Jul-2004,date between last active and last checked,10.5,failed,abandon,4,,0,,,27-Jun-2004,egg floating,25,4,complete,29-Jun-2004,08-Jul-2004,11-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e (not floating),,,,,,,,,4e (sink - see float sheet),,,"3e (cold, 1 cracked)",,,"3e (cold, 1 cracked)",,,,3e aband - 1110h,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,BBPL,BBP01,c2004-BBP01,,62.90858,-82.46750,,,n,,,,01-Jul-2004,24-Jul-2004,hatch date,23,success,na,4,,4,24-Jul-2004,estimate,26-Jun-2004,hatch_date_minus_incubation_duration,25,4,complete,01-Jul-2004,24-Jul-2004,24-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e (sink 20-30°),,,,,,,,4e (sink ~65°),,,,,,4e no stars - 1420h,,,,4e no stars ,,,4e (all stared-0910h),,"4e (2 pip, 2 heavy staring - 0758h)",,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUG01,c2004-DUG01,B,62.87642,-82.45736,,,n,,,,28-Jun-2004,19-Jul-2004,hatch date,21,success,na,4,28-Jun-2004,4,19-Jul-2004,estimate,25-Jun-2004,hatch_date_minus_incubation_duration,21,2,incomplete,25-Jun-2004,18-Jul-2004,20-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,2e,,,,,,,,,,,,,,,,,4e (float - see float sheet),,,,4e (all stars - 1738h),,4e (moderate star 950h),,cup empty - no birds in area - bits found (1615h),,,,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUG02,c2004-DUG02,B,62.86531,-82.49058,,,y,"July 11, 2004",,,27-Jun-2004,16-Jul-2004,hatch date,19,success,na,4,,4,16-Jul-2004,estimate,22-Jun-2004,hatch_date_minus_incubation_duration,21,4,complete,27-Jun-2004,15-Jul-2004,17-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,4e,,,,,,,,4e (float - 4th dead - see float sheet),4e (float - 4th dead - see float sheet),,,,4e (float),4e (med weight - no stars),,,,"4e (1512h, 3e stars 1e pip)",,"empty cup (bits found, bird nearby - successful - 0930h)",,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUG03,c2004-DUG03,B,62.86825,-82.49833,,,n,,,,27-Jun-2004,01-Jul-2004,date between last active and last checked,4,failed,predated,4,,0,,,24-Jun-2004,before_this_date_not_floated,21,4,complete,27-Jun-2004,27-Jun-2004,05-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,4e (sink),,,,,,,,0e (no bits),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUG04,c2004-DUG04,,62.90881,-82.48678,,,n,,,,15-Jul-2004,22-Jul-2004,date last active,7,unknown,na,3,,unk,,,01-Jul-2004,egg floating,21,3,complete,15-Jul-2004,22-Jul-2004,22-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e (float ~80°),,,3e (no stars - 1228h),,,,3e (no stars-1016h),,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUG05,c2004-DUG05,J,62.91178,-82.46656,,,n,,,,30-Jun-2004,14-Jul-2004,hatch date,14,success,na,4,,3,14-Jul-2004,estimate,20-Jun-2004,hatch_date_minus_incubation_duration,21,4,complete,30-Jun-2004,10-Jul-2004,15-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e (sink ~90°),,,,,,,,4e (float),,4e (float - see float sheet),,,,,"1e cold (other three hatched, bits found - 1410h)",,,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUG06,c2004-DUG06,K,62.92244,-82.48061,,,n,,,,01-Jul-2004,19-Jul-2004,hatch date,18,success,na,4,,1-4,19-Jul-2004,chick seen,25-Jun-2004,hatch_date_minus_incubation_duration,21,4,complete,01-Jul-2004,19-Jul-2004,19-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e,,,,,,,4e (float),4e (float - see float sheet),,,,,4e (no stars - 1442h),,,,,"1c, 1e (pip - 1340h)",,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUG07,c2004-DUG07,,62.88069,-82.45656,,,n,,,,16-Jul-2004,17-Jul-2004,hatch date,1,success,na,4,,3-4,17-Jul-2004,chick seen,23-Jun-2004,hatch_date_minus_incubation_duration,21,4,complete,16-Jul-2004,17-Jul-2004,17-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e (all with stars),"3c (2 dry 1 wet), 1e pip (1324h)",,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUJ01,c2004-DUJ01,,62.86781,-82.46853,,,n,,,,26-Jun-2004,26-Jun-2004,date last active,0,unknown,na,4,,unk,,,23-Jun-2004,egg floating,21,4,complete,26-Jun-2004,26-Jun-2004,26-Jun-2004,,,,,,,,,,,,,,,,,,,,,,,,,,4e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUJ02,c2004-DUJ02,L,62.91369,-82.49633,,,n,,,,01-Jul-2004,04-Jul-2004,date between last active and last checked,3.5,failed,predated,4,,0,,,19-Jun-2004,egg floating,21,4,complete,01-Jul-2004,01-Jul-2004,08-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e (float 0mm),,,,,,,0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUJ03,c2004-DUJ03,A,62.86622,-82.48039,,,y,"July 6, 2004",,,02-Jul-2004,14-Jul-2004,hatch date,12,success,na,4,,4,14-Jul-2004,chick seen,20-Jun-2004,hatch_date_minus_incubation_duration,21,4,complete,02-Jul-2004,14-Jul-2004,14-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e (sink ~90°),,,,4e (float - see float sheet),,,,4e,"4e (1 light with star, 3 nothing)",,,4c (1446h),,,,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUJ04,c2004-DUJ04,,62.87058,-82.48361,,,n,,,,04-Jul-2004,08-Jul-2004,date between last active and last checked,4.5,failed,predated,4,,0,,,22-Jun-2004,egg floating,21,4,complete,04-Jul-2004,06-Jul-2004,11-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e (float 0m),,4e (float - see float sheet),,,,,0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUJ05,c2004-DUJ05,,62.92075,-82.46728,,,n,,,,08-Jul-2004,12-Jul-2004,date between last active and last checked,4.5,failed,predated,4,,0,,,24-Jun-2004,egg floating,21,4,complete,08-Jul-2004,10-Jul-2004,15-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e (float),,4e (float - see float sheet),,,,,0e (no bits Dep?),,,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUJ06,c2004-DUJ06,,62.87033,-82.47278,,,n,,,,16-Jul-2004,22-Jul-2004,hatch date,6,success,na,4,,4,22-Jul-2004,estimate,28-Jun-2004,hatch_date_minus_incubation_duration,21,4,complete,16-Jul-2004,20-Jul-2004,22-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4e (no stars, not light - 1506h)",,,"4e (3e star moderate, 1e star light - 1122h)",4e (all light/med star - 1235h),,"cup empty (no birds in area, bits found - 1424h)",,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUJ07,c2004-DUJ07,,62.88589,-82.47458,,,n,,,,14-Jul-2004,22-Jul-2004,date last active,8,unknown,na,4,,unk,,,05-Jul-2004,egg floating,21,4,complete,14-Jul-2004,22-Jul-2004,22-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e (float ~85°),,,4e (1238h no star),,,,,4e (no staring-0655h),,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUJ08,c2004-DUJ08,,62.87864,-82.47797,,,n,,,,18-Jul-2004,20-Jul-2004,hatch date,2,success,na,4,,3,20-Jul-2004,chick seen,26-Jun-2004,hatch_date_minus_incubation_duration,21,4,complete,18-Jul-2004,18-Jul-2004,20-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4e (3e star, 1e nothing 1108h)",,"1e (cold) (shell bits, 1adult and chick seen ~30 m N of nest-1636h)",,,,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUJ09,c2004-DUJ09,,62.86783,-82.47231,,,n,,,,22-Jul-2004,23-Jul-2004,date last active,1,unknown,na,4,,unk,,,19-Jul-2004,before_this_date_not_floated,21,4,complete,22-Jul-2004,23-Jul-2004,23-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4e (no star, no pips - 1123h)",4e (no stars/ no pips - 1011h),,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUP01,c2004-DUP01,,62.86231,-82.49900,,,n,,,,25-Jun-2004,30-Jun-2004,date between last active and last checked,5,failed,predated,,,0,,,23-Jun-2004,before_this_date_not_floated,21,3,unknown,25-Jun-2004,25-Jun-2004,05-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,3e,,,,,,,,,,0e (dep),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUP02,c2004-DUP02,,62.86339,-82.50322,,,n,,,,25-Jun-2004,30-Jun-2004,date between last active and last checked,5,never active,unknown,,,0,,,,,21,0,complete,25-Jun-2004,25-Jun-2004,05-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,0e,,,,,,,,,,0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUP03,c2004-DUP03,,62.85522,-82.48958,,,n,,,,26-Jun-2004,01-Jul-2004,date between last active and last checked,5,failed,predated,,,0,,,24-Jun-2004,before_this_date_not_floated,21,3,unknown,26-Jun-2004,26-Jun-2004,06-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,3e,,,,,,,,,,0e (no bits),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUP04,c2004-DUP04,,62.86653,-82.46628,,,n,,,,27-Jun-2004,01-Jul-2004,date between last active and last checked,4,failed,predated,1,27-Jun-2004,0,,,27-Jun-2004,egg floating,21,1,unknown,27-Jun-2004,27-Jun-2004,06-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,1e (bird on),,,,,,,,,0e (no bits),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUP05,c2004-DUP05,,62.91394,-82.46711,,,y,"July 15, 2004",,,30-Jun-2004,16-Jul-2004,hatch date,16,success,na,4,,1-4,16-Jul-2004,chick seen,22-Jun-2004,hatch_date_minus_incubation_duration,21,4,complete,30-Jun-2004,16-Jul-2004,16-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e (sink 30°),,,,,,,,4e (float),,4e (float - see float sheet),,,,,"4e (1e pip,  3e stars - 1355h)",1c wet 2e (both piped - 1355h),,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUP06,c2004-DUP06,,62.92056,-82.46878,,,y,"July 10, 2004",,,30-Jun-2004,15-Jul-2004,hatch date,15,success,na,4,,4,15-Jul-2004,chick seen,21-Jun-2004,hatch_date_minus_incubation_duration,21,4,complete,30-Jun-2004,15-Jul-2004,15-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e (sink 75°),,,,,,,,4e,,4e (float - see float sheet),,,,,4c (dry - 1245h),,,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUP07,c2004-DUP07,,62.87292,-82.47744,,,y,"July 12, 2004",,,06-Jul-2004,18-Jul-2004,hatch date,12,success,na,4,,3,18-Jul-2004,chick seen,24-Jun-2004,hatch_date_minus_incubation_duration,21,4,complete,06-Jul-2004,16-Jul-2004,16-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e (sus  - see float sheet),,,,,,4e (light - no stars),,,,4e (all stars - 1600h),,"2c damp, 1e hatching (1145h)",,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUP08,c2004-DUP08,,62.86722,-82.47622,,,y,"July 16, 2004",,,08-Jul-2004,16-Jul-2004,hatch date,8,success,na,4,,4,16-Jul-2004,chick seen,22-Jun-2004,hatch_date_minus_incubation_duration,21,4,complete,08-Jul-2004,16-Jul-2004,16-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e (float - see float sheet),,,"4e (med weight, no star)",,,,,4c (dry - 1130h),,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUP09,c2004-DUP09,,62.91869,-82.46689,,,y,,,,10-Jul-2004,15-Jul-2004,hatch date,5,success,na,4,,2-4,15-Jul-2004,chick seen,21-Jun-2004,hatch_date_minus_incubation_duration,21,4,complete,10-Jul-2004,15-Jul-2004,15-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e (float - see float sheet),,,,,"2c dry, 1e nothing - 1310h",,,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUP10,c2004-DUP10,,62.87750,-82.49131,,,y,,,,17-Jul-2004,17-Jul-2004,hatch date,0,success,na,4,,4,17-Jul-2004,chick seen,23-Jun-2004,hatch_date_minus_incubation_duration,21,4,hatched,17-Jul-2004,17-Jul-2004,17-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4c dry - 1040h,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,DUNL,DUP11,c2004-DUP11,,,,,,n,,,,17-Jul-2004,24-Jul-2004,date last active,7,unknown,na,3,,unk,,,15-Jul-2004,before_this_date_not_floated,21,3,complete,17-Jul-2004,24-Jul-2004,24-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e (no stars - 1203h),,,,,"3e (no star, no pip - 1206h)",,3e (no stars - 1124h),,,,,,,,,,,,,no GPS coordinates,,
,Coats Island,2004,HERG,HGJ01,c2004-HGJ01,F,,,,,n,,,,28-Jun-2004,28-Jun-2004,date last active,0,unknown,na,,,unk,,,,,28,,unknown,28-Jun-2004,28-Jun-2004,28-Jun-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,?e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,HERG,HGP01,c2004-HGJ02,,,,,,n,,,,10-Jul-2004,10-Jul-2004,date last active,0,unknown,na,,,unk,,,,,28,,unknown,10-Jul-2004,10-Jul-2004,10-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#e?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,LALO,LLG01,c2014-LLG01,E,62.88150,-82.47397,,,n,,,,28-Jun-2004,16-Jul-2004,hatch date,18,success,na,4,,4,16-Jul-2004,estimate,05-Jul-2004,hatch_date_minus_incubation_duration,10.5,4,complete,28-Jun-2004,16-Jul-2004,16-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e,,,,,,,,,,,,,,,,,,4c,,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,LALO,LLG02,c2014-LLG02,H,62.88742,-82.48597,,,n,,,,29-Jun-2004,17-Jul-2004,hatch date,18,success,na,5,,5,17-Jul-2004,estimate,06-Jul-2004,hatch_date_minus_incubation_duration,10.5,5,complete,29-Jun-2004,17-Jul-2004,17-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e,,,,,,,,,,,,,,,5c ,,,3c,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,LALO,LLJ01,c2014-LLJ01,,62.89089,-82.46314,,,n,,,,21-Jun-2004,11-Jul-2004,hatch date,20,success,na,,,1+,11-Jul-2004,estimate,23-Jun-2018,Date_found_minus _incomplete_clutch_size+1,10.5,1,unknown,21-Jun-2004,11-Jul-2004,11-Jul-2004,,,,,,,,,,,,,,,,,,,,,1e,,,,,,,,,,,,,,,,,,,,nestlings (very downly / eyes open),,,,,,,,,,,,,,,,,,,,,,,,,,multiple nestlings but no checks for total egg count (no checks between first 1egg and nestlings),,
,Coats Island,2004,LALO,LLJ02,c2014-LLJ02,D,62.88164,-82.48711,,,n,,,,25-Jun-2004,25-Jun-2004,date last active,0,unknown,na,,,unk,,,20-Jun-2004,Date_found_minus _incomplete_clutch_size+1,10.5,6,unknown,25-Jun-2004,25-Jun-2004,11-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,6e,,,,,,,,,,,,,,,,0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,LALO,LLJ03,c2014-LLJ03,F,62.88183,-82.49528,,,n,,,,28-Jun-2004,07-Jul-2004,date between last active and last checked,9.5,unknown ,na,,,unk,,,,,10.5,5,complete,28-Jun-2004,28-Jun-2004,17-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e (floating),,,,,,,,,,,,,,,could not find,,,,"0e (birds in area, fledged? - 1200h)",,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,LALO,LLJ04,c2014-LLJ04,G,62.89447,-82.46147,,,n,,,,29-Jun-2004,11-Jul-2004,hatch date,12,success,na,3,,3,11-Jul-2004,estimate,23-Jun-2018,Date_found_minus _incomplete_clutch_size+1,10.5,3,unknown,29-Jun-2004,29-Jun-2004,11-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e,,,,,,,,,,,,nestlings (mostly pink with fuzz),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,LALO,LLJ05,c2014-LLJ05,,62.87347,-82.49861,,,n,,,,04-Jul-2004,17-Jul-2004,hatch date,13,success,na,,,3+,17-Jul-2004,estimate,30-Jun-2004,Date_found_minus _incomplete_clutch_size+1,10.5,5,unknown,04-Jul-2004,17-Jul-2004,17-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e ,,,,,,,,,,,,,3c,,,,,,,,,,,,,,,,,,,,,,
,Coats Island,2004,LALO,LLJ06,c2014-LLJ06,,62.88869,-82.48956,,,n,,,,04-Jul-2004,13-Jul-2004,hatch date,9,success,na,6,,6,13-Jul-2004,estimate,02-Jul-2004,hatch_date_minus_incubation_duration,10.5,6,complete,04-Jul-2004,20-Jul-2004,20-Jul-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6e ,,,,,,,,,"6c (downy, eyes closed)",,,,,,,"0e,c (feces on rim, fecal sac near nest, birds calling nearby)",,,,,,,,,,,,,,,,,,,
